@serverless-stack/resources,1,0,1,0,0,21,656,0,0,0,21,656
serverless-jest-plugin,2,0,2,4,4,2,26,1,2,0,7,32
lastejobb,0,0,0,3,2,4,16,0,0,1,7,18
@plugnet/binary-encoding-utilities,0,0,0,0,0,5,17,0,0,0,5,17
react-mosaic-utils,0,0,0,0,0,5,38,0,0,0,5,38
ice-scripts,0,0,0,0,0,4,15,0,0,0,4,15
almondtree,0,0,0,0,0,4,14,0,0,0,4,14
ghetto-monad,0,0,0,0,0,3,7,0,0,0,3,7
markdown-it-alert,0,0,0,0,0,3,9,0,0,0,3,9
storage-manager-js,0,0,0,0,0,2,6,0,0,0,2,6
@portable-profiles/auth,0,0,0,1,0,1,4,0,0,1,2,4
validate-email-password,0,0,0,0,0,2,2,0,0,0,2,2
picompiler,0,0,0,0,0,2,10,0,0,0,2,10
@serverless-stack/resources,3,0,3,1,1,20,655,0,0,0,21,656
serverless-jest-plugin,4,0,4,3,3,3,27,1,2,0,7,32
lastejobb,0,0,0,3,2,4,16,0,0,1,7,18
@plugnet/binary-encoding-utilities,0,0,0,0,0,5,17,0,0,0,5,17
react-mosaic-utils,0,0,0,0,0,5,38,0,0,0,5,38
ice-scripts,0,0,0,0,0,4,15,0,0,0,4,15
almondtree,0,0,0,0,0,4,14,0,0,0,4,14
ghetto-monad,0,0,0,0,0,3,7,0,0,0,3,7
markdown-it-alert,0,0,0,0,0,3,9,0,0,0,3,9
storage-manager-js,0,0,0,0,0,2,6,0,0,0,2,6
@portable-profiles/auth,0,0,0,1,0,1,4,0,0,1,2,4
validate-email-password,0,0,0,0,0,2,2,0,0,0,2,2
picompiler,0,0,0,0,0,2,10,0,0,0,2,10
