Andarist/react-textarea-autosize,http://github.com/Andarist/react-textarea-autosize,cd87f81,Sun Sep  4 20:13:33 CDT 2022,jest,1
AlecAivazis/redux-responsive,https://github.com/AlecAivazis/redux-responsive,a546003,Sun Sep  4 20:13:36 CDT 2022,NODE_ENV=test jest,0
clarus/redux-ship,https://github.com/clarus/redux-ship,2364ace,Sun Sep  4 20:13:38 CDT 2022,jest,0
realadvisor/rifm,https://github.com/realadvisor/rifm,b51d843,Sun Sep  4 20:13:40 CDT 2022,eslint --ignore-path .gitignore ./ && flow check && yarn test:ts && yarn jest,1
zeke/semantic-pull-requests,https://github.com/zeke/semantic-pull-requests,f4916f4,Sun Sep  4 20:13:44 CDT 2022,jest test/* && npm run lint,1
sheinsight/shineout,https://github.com/sheinsight/shineout,04bf2e3f,Sun Sep  4 20:13:46 CDT 2022,cross-env NODE_ENV=test jest --config jest.config.js,1
amzn/style-dictionary,http://github.com/amzn/style-dictionary,28787be,Sun Sep  4 20:14:14 CDT 2022,npm run test-types && npm run lint && jest --runInBand --silent --coverage,1
sindu12jun/table-dragger,https://github.com/sindu12jun/table-dragger,1dcbed9,Sun Sep  4 20:14:29 CDT 2022,jest --watch,1
alexreardon/tiny-invariant,http://github.com/alexreardon/tiny-invariant,31cf8fb,Sun Sep  4 20:14:31 CDT 2022,yarn jest,1
aweary/tinytime,https://github.com/aweary/tinytime,656cfc0,Sun Sep  4 20:14:34 CDT 2022,NODE_ENV=test flow && jest,0
atomiks/tippyjs-react,http://github.com/atomiks/tippyjs-react,2699f04,Sun Sep  4 20:14:35 CDT 2022,jest --coverage,1
angular-ui/ui-router,http://github.com/angular-ui/ui-router,505e7fb,Sun Sep  4 20:14:38 CDT 2022,tsc && NG=1.7 jest && NG=1.6 jest && NG=1.5 jest && NG=1.4 jest && NG=1.3 jest && NG=1.2 jest,1
antoine92190/vue-advanced-chat,http://github.com/antoine92190/vue-advanced-chat,a26747e,Sun Sep  4 20:14:45 CDT 2022,tsc && NG=1.7 jest && NG=1.6 jest && NG=1.5 jest && NG=1.4 jest && NG=1.3 jest && NG=1.2 jest,1
akxcv/vuera,http://github.com/akxcv/vuera,3ea31d3,Sun Sep  4 20:15:01 CDT 2022,cross-env BABEL_ENV=test jest,0
Armour/vue-typescript-admin-template,http://github.com/Armour/vue-typescript-admin-template,bff1343,Sun Sep  4 20:15:03 CDT 2022,cross-env BABEL_ENV=test jest,1
lukeraymonddowning/whenipress,https://github.com/lukeraymonddowning/whenipress,294b7f1,Sun Sep  4 20:15:11 CDT 2022,jest,1
