package,start time,end time,commitNum,jest,jasmine,mocha,karma,test command
holla,1659476738,1659476741,2eec008,0,0,0,0,test
s3-lambda,1659476741,1659476744,79e04b2,0,0,0,0,node test
treesaver,1659476744,1659476752,2d5e8ee,0,0,0,0,node test
redux-little-router,1659476753,1659476758,ba8a88a,0,0,1,0,BABEL_ENV=commonjs mocha test/.setup.js 'test/**/*.spec.js'
cortex,1659476758,1659476760,776bce0,0,1,0,0,gulp test
HTML5_Genetic_Cars,1659476760,1659476762,f3e9ce5,0,0,0,0,echo \
kerning.js,1659476762,1659476763,3836160,0,0,0,0,echo \
emblem.js,1659476764,1659476768,219d893,0,0,0,0,ember test
express-admin,1659476768,1659476772,5218700,0,0,1,0,make test
tablesorter,1659476772,1659476774,07e0918,0,0,0,0,echo \
Angular-news,1659476775,1659476777,aec41cc,0,0,0,0,gulp && node http
Vueg----page-transition-plugin,1659476777,1659476780,2696673,0,0,0,0,echo \
angularjs-gulp-browserify-boilerplate,1659476780,1659476783,5cd63d2,0,1,0,1,cross-env NODE_ENV=test ./node_modules/.bin/gulp test
chrome-devtools-autosave,1659476783,1659476784,de01a7f,0,0,0,0,cross-env NODE_ENV=test ./node_modules/.bin/gulp test
react-cursor,1659476785,1659476787,809d731,0,0,1,1,karma start
angular-requirejs-seed,1659476787,1659476789,8b3707f,0,1,0,1,node_modules/karma/bin/karma start karma.conf.js
spy-js,1659476789,1659476791,1d7236d,0,0,0,0,node_modules/karma/bin/karma start karma.conf.js
s3-lambda,1659476791,1659476794,79e04b2,0,0,0,0,node test
treesaver,1659476794,1659476802,2d5e8ee,0,0,0,0,node test
angular-foundation,1659476802,1659476806,232f0b9,0,1,0,1,node test
tablesorter,1659476807,1659476809,07e0918,0,0,0,0,echo \
Angular-news,1659476809,1659476811,aec41cc,0,0,0,0,gulp && node http
angularjs-gulp-browserify-boilerplate,1659476811,1659476816,5cd63d2,0,1,0,1,cross-env NODE_ENV=test ./node_modules/.bin/gulp test
chrome-devtools-autosave,1659476816,1659476817,de01a7f,0,0,0,0,cross-env NODE_ENV=test ./node_modules/.bin/gulp test
react-cursor,1659476818,1659476820,809d731,0,0,1,1,karma start
angular-requirejs-seed,1659476820,1659476822,8b3707f,0,1,0,1,node_modules/karma/bin/karma start karma.conf.js
elm-live,1659476822,1659476826,e317b49,0,0,0,0,node_modules/karma/bin/karma start karma.conf.js
relay-starter-kit,1659476826,1659476828,d182c5d,0,0,0,0,node_modules/karma/bin/karma start karma.conf.js
graffiti,1659476828,1659476830,6273089,0,0,1,0,NODE_ENV=test mocha --compilers js:babel-register 'src/**/*.spec.js'
grunt-devtools,1659476830,1659476834,d22425b,0,0,0,0,NODE_ENV=test mocha --compilers js:babel-register 'src/**/*.spec.js'
Custom-URL-scheme,1659476834,1659476836,881608e,0,0,0,0,NODE_ENV=test mocha --compilers js:babel-register 'src/**/*.spec.js'
android-actionbarstylegenerator,1659476836,1659476854,26cd37e,0,0,0,0,NODE_ENV=test mocha --compilers js:babel-register 'src/**/*.spec.js'
cssx,1659476858,1659476866,a729776,0,0,1,0,mocha --colors ./test/*.spec.js
LogicJS,1659476867,1659476869,a64b516,0,0,0,0,echo \
core-js,1659476869,1659476885,160168f4,0,1,0,1,jasmine && karma start
filtrex,1659476886,1659476888,685f579,0,0,0,0,jasmine && karma start
node-s3-client,1659476888,1659476890,a1c25dd,0,0,1,0,test
react-json-tree,1659476890,1659476893,10d12d8,0,0,1,0,
React-Dropzone-Component,1659476893,1659476896,78677ed,1,0,0,0,standard ./src && jest
yeoman-app,1659476896,1659476900,cfffca6,0,1,1,0,npm run lint
TraceKit,1659476900,1659476902,8f74ec6,0,1,0,1,grunt test
VisualEvent,1659476902,1659476904,d0ccb54,0,0,0,0,grunt test
angular2-authentication-sample,1659476904,1659476906,3d5f962,0,0,0,0,echo \
jOrgChart,1659476906,1659476907,89cb998,0,0,0,0,echo \
react.backbone,1659476907,1659476909,0b0276c,1,0,0,0,jest
react-router-scroll,1659476909,1659476911,83820b4,0,0,1,1,npm run lint && npm run testonly
meteorite,1659476912,1659476916,35e8d5e,0,0,1,0,mocha spec/unit spec/acceptance -t 240000 -R spec
iview-project,1659476916,1659476918,ab8b7a0,0,0,0,0,mocha spec/unit spec/acceptance -t 240000 -R spec
jquery-offline,1659476918,1659476919,e886d67,0,0,0,0,mocha spec/unit spec/acceptance -t 240000 -R spec
Clairvoyance,1659476919,1659476922,9915ab6,0,0,1,0,cross-env NODE_ENV=test NODE_PATH=front-end/app mocha tests --recursive --compilers js:babel-register
microevent.js,1659476922,1659476925,1511836,0,0,0,0,cross-env NODE_ENV=test NODE_PATH=front-end/app mocha tests --recursive --compilers js:babel-register
crdt,1659476926,1659476929,7f977f8,0,0,0,0,asynct test/*.js
nativeShare.js,1659476929,1659476931,19e7493,0,0,0,0,asynct test/*.js
pubnub-api,1659476931,1659476973,4eccc38d,0,0,0,0,asynct test/*.js
jquery-address,1659476974,1659476978,150639e,0,0,0,0,asynct test/*.js
angular-vs-repeat,1659476979,1659476982,fe3ffac,0,0,1,1,gulp travis
React-Redux-Boilerplate,1659476982,1659476984,bb55701,0,0,0,0,gulp travis
GifW00t,1659476984,1659476997,28649fc,0,0,1,0,grunt test
mach,1659476997,1659477001,4738db0,0,0,1,1,jshint . && mocha --require babel/register --reporter spec 'modules/**/__tests__/*-test.js'
voicechat,1659477002,1659477004,dba07c3,0,0,0,0,jshint . && mocha --require babel/register --reporter spec 'modules/**/__tests__/*-test.js'
sandros-sketch-plugins,1659477004,1659477006,d5255bc,0,0,0,0,jshint . && mocha --require babel/register --reporter spec 'modules/**/__tests__/*-test.js'
npm-scripts-example,1659477007,1659477008,56c25ca,0,0,1,1,karma start
catberry,1659477008,1659477016,ad973d2,0,0,1,0,make
rejected.us,1659477016,1659477022,8affae6,0,0,0,0,react-scripts test
airpaste,1659477022,1659477023,5059ef5,0,0,0,0,standard
firebase-queue,1659477024,1659477025,bd639b6,0,0,1,0,gulp test
jquery.hotkeys,1659477026,1659477027,782ddf3,0,0,0,0,gulp test
airpaste,1659477027,1659477028,5059ef5,0,0,0,0,standard
firebase-queue,1659477028,1659477030,bd639b6,0,0,1,0,gulp test
jquery.hotkeys,1659477030,1659477032,782ddf3,0,0,0,0,gulp test
WikiQuiz,1659477032,1659477033,0855737,0,0,0,0,gulp test
brisket,1659477033,1659477039,8504d6d,0,1,0,0,gulp
DejaVue,1659477039,1659477042,10dfcfe,0,0,1,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
ggraph,1659477042,1659477043,04ad66a,0,1,0,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
markdown-in-js,1659477044,1659477045,79f143f,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
tagmanager,1659477045,1659477047,b43646e,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
grumble.js,1659477047,1659477050,b5f70d9,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
marvin,1659477050,1659477053,5d68cef,1,0,0,0,react-app-rewired test
matches.js,1659477053,1659477054,9114609,0,0,1,0,mocha -u tdd
react-native-css,1659477054,1659477056,26c8461,0,0,0,0,babel-tap test/*.test.js
angular-socket-io-seed,1659477056,1659477058,76f22c6,0,0,0,0,babel-tap test/*.test.js
ThunderLixianExporter,1659477059,1659477060,d7e007e,0,0,0,0,babel-tap test/*.test.js
jquery-lifestream,1659477060,1659477083,d8ec650fd,0,0,0,0,babel-tap test/*.test.js
firebase-react-native-sample,1659477084,1659477086,43ea69d,0,0,0,0,babel-tap test/*.test.js
intro-to-react,1659477086,1659477091,71babe6,0,0,0,0,react-scripts test --env=jsdom
robokitty,1659477091,1659477094,750b9c0,0,0,0,0,lab -v test
onScreen,1659477094,1659477097,5df9c85,0,0,1,1,karma start
mcfly,1659477097,1659477099,7642c12,1,0,0,0,jest
DOMtastic,1659477100,1659477104,3c7fcb2,0,0,1,0,npm run bundle && mocha
Rumpetroll,1659477104,1659477106,ad87d2d,0,0,0,0,npm run bundle && mocha
tab-snooze,1659477106,1659477108,a064229,0,0,0,0,npm run bundle && mocha
torii,1659477108,1659477114,8abbfe9,0,0,0,0,ember try:each
vue-vueRouter-webpack,1659477114,1659477115,d99fcff,0,0,0,0,ember try:each
opsweekly,1659477116,1659477119,feee282,0,0,0,0,ember try:each
aight,1659477119,1659477121,8e92a3b,0,0,0,0,watchy -w *.js,test -- npm run test:local
SimpLESS,1659477121,1659477123,5dd3675,0,0,0,0,watchy -w *.js,test -- npm run test:local
postcss-write-svg,1659477124,1659477125,6f04693,0,0,0,0,npm run lint && postcss-tape
jquery.hotkeys,1659477125,1659477126,782ddf3,0,0,0,0,npm run lint && postcss-tape
WikiQuiz,1659477127,1659477128,0855737,0,0,0,0,npm run lint && postcss-tape
brisket,1659477128,1659477133,8504d6d,0,1,0,0,gulp
DejaVue,1659477134,1659477136,10dfcfe,0,0,1,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
ggraph,1659477137,1659477138,04ad66a,0,1,0,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
markdown-in-js,1659477138,1659477140,79f143f,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
tagmanager,1659477140,1659477142,b43646e,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
GaGaMall,1659477142,1659477150,b1cf036,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
redux-optimist,1659477151,1659477155,314660c,0,0,0,0,babel-node test/index.js
grumble.js,1659477155,1659477158,b5f70d9,0,0,0,0,babel-node test/index.js
marvin,1659477158,1659477160,5d68cef,1,0,0,0,react-app-rewired test
matches.js,1659477160,1659477162,9114609,0,0,1,0,mocha -u tdd
react-native-css,1659477162,1659477164,26c8461,0,0,0,0,babel-tap test/*.test.js
angular-socket-io-seed,1659477164,1659477166,76f22c6,0,0,0,0,babel-tap test/*.test.js
ThunderLixianExporter,1659477166,1659477168,d7e007e,0,0,0,0,babel-tap test/*.test.js
jquery-lifestream,1659477168,1659477195,d8ec650fd,0,0,0,0,babel-tap test/*.test.js
firebase-react-native-sample,1659477196,1659477197,43ea69d,0,0,0,0,babel-tap test/*.test.js
intro-to-react,1659477198,1659477202,71babe6,0,0,0,0,react-scripts test --env=jsdom
robokitty,1659477203,1659477205,750b9c0,0,0,0,0,lab -v test
onScreen,1659477206,1659477208,5df9c85,0,0,1,1,karma start
mcfly,1659477208,1659477210,7642c12,1,0,0,0,jest
DOMtastic,1659477210,1659477215,3c7fcb2,0,0,1,0,npm run bundle && mocha
Rumpetroll,1659477215,1659477217,ad87d2d,0,0,0,0,npm run bundle && mocha
tab-snooze,1659477217,1659477219,a064229,0,0,0,0,npm run bundle && mocha
torii,1659477219,1659477224,8abbfe9,0,0,0,0,ember try:each
vue-vueRouter-webpack,1659477225,1659477226,d99fcff,0,0,0,0,ember try:each
opsweekly,1659477227,1659477229,feee282,0,0,0,0,ember try:each
SimpLESS,1659477230,1659477232,5dd3675,0,0,0,0,ember try:each
aight,1659477232,1659477234,8e92a3b,0,0,0,0,watchy -w *.js,test -- npm run test:local
postcss-write-svg,1659477234,1659477235,6f04693,0,0,0,0,npm run lint && postcss-tape
DejaVue,1659477236,1659477238,10dfcfe,0,0,1,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
ggraph,1659477238,1659477240,04ad66a,0,1,0,1,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
markdown-in-js,1659477240,1659477242,79f143f,0,0,0,0,cross-env BABEL_ENV=test karma start test/unit/karma.conf.js --single-run
frenchkiss.js,1659477242,1659477243,5b067b0,0,0,1,0,mocha --require @babel/register --recursive test
tagmanager,1659477244,1659477246,b43646e,0,0,0,0,mocha --require @babel/register --recursive test
grumble.js,1659477246,1659477248,b5f70d9,0,0,0,0,mocha --require @babel/register --recursive test
marvin,1659477249,1659477252,5d68cef,1,0,0,0,react-app-rewired test
matches.js,1659477252,1659477254,9114609,0,0,1,0,mocha -u tdd
react-native-css,1659477254,1659477255,26c8461,0,0,0,0,babel-tap test/*.test.js
1-liners,1659477256,1659477260,d8f6443,0,0,1,0,npm run coverage
angular-socket-io-seed,1659477260,1659477264,76f22c6,0,0,0,0,npm run coverage
github-webhook-handler,1659477264,1659477265,f96bc0d,0,0,0,0,npm run lint && node test.js
ThunderLixianExporter,1659477266,1659477267,d7e007e,0,0,0,0,npm run lint && node test.js
jquery-lifestream,1659477267,1659477292,d8ec650fd,0,0,0,0,npm run lint && node test.js
firebase-react-native-sample,1659477292,1659477294,43ea69d,0,0,0,0,npm run lint && node test.js
intro-to-react,1659477294,1659477299,71babe6,0,0,0,0,react-scripts test --env=jsdom
robokitty,1659477299,1659477302,750b9c0,0,0,0,0,lab -v test
onScreen,1659477302,1659477304,5df9c85,0,0,1,1,karma start
mcfly,1659477304,1659477306,7642c12,1,0,0,0,jest
DOMtastic,1659477306,1659477311,3c7fcb2,0,0,1,0,npm run bundle && mocha
Rumpetroll,1659477311,1659477313,ad87d2d,0,0,0,0,npm run bundle && mocha
tab-snooze,1659477313,1659477315,a064229,0,0,0,0,npm run bundle && mocha
torii,1659477315,1659477320,8abbfe9,0,0,0,0,ember try:each
found,1659477320,1659477332,83843aa,1,0,0,0,npm run lint && npm run test:ts && npm run testonly -- --coverage
vue-vueRouter-webpack,1659477332,1659477333,d99fcff,0,0,0,0,npm run lint && npm run test:ts && npm run testonly -- --coverage
opsweekly,1659477334,1659477336,feee282,0,0,0,0,npm run lint && npm run test:ts && npm run testonly -- --coverage
SimpLESS,1659477337,1659477339,5dd3675,0,0,0,0,npm run lint && npm run test:ts && npm run testonly -- --coverage
aight,1659477339,1659477341,8e92a3b,0,0,0,0,watchy -w *.js,test -- npm run test:local
postcss-write-svg,1659477341,1659477342,6f04693,0,0,0,0,npm run lint && postcss-tape
nodepad,1659477342,1659477344,68357e7,0,0,1,0,npm run lint && postcss-tape
yql-tables,1659477344,1659477357,c5f332c,0,0,0,0,npm run lint && postcss-tape
fab,1659477359,1659477360,835e06f,0,0,0,0,npm run lint && postcss-tape
facebook-node-sdk,1659477360,1659477363,1fabbb0,0,0,1,0,node ./node_modules/mocha/bin/mocha --recursive --reporter spec
d3.chart,1659477363,1659477366,a7dca26,0,0,1,0,grunt test
browser-repl,1659477366,1659477368,448cf4c,0,0,0,0,grunt test
bonsai,1659477368,1659477378,fd5de86,1,0,0,0,react-scripts test --testPathPattern='src/(?!integration)'
wiselinks,1659477378,1659477383,19b88b1,0,0,0,0,react-scripts test --testPathPattern='src/(?!integration)'
colaboratory,1659477383,1659477386,23c6e04,0,0,0,0,react-scripts test --testPathPattern='src/(?!integration)'
ie8linter,1659477386,1659477389,9a8c20f,0,0,0,0,echo \
rwb,1659477389,1659477391,ec8ee7b,0,0,0,0,echo \
smtp-server,1659477391,1659477393,96c0bee,0,0,1,0,0.13.3
iview-cli,1659477393,1659477404,fecd012,0,0,0,0,0.13.3
replace,1659477404,1659477406,04c99bd,0,0,0,0,tap test
spider,1659477406,1659477407,e8985da,0,0,0,0,tap test
queryloader2,1659477407,1659477410,353a3cb,0,0,1,0,node ./node_modules/jscs/bin/jscs src && node ./node_modules/gulp/bin/gulp.js browserify  && node ./node_modules/gulp/bin/gulp.js browserify-tests && node ./node_modules/mocha-phantomjs/bin/mocha-phantomjs test/browser/index.html
shots,1659477410,1659477416,121c102,0,0,0,0,node ./node_modules/jscs/bin/jscs src && node ./node_modules/gulp/bin/gulp.js browserify  && node ./node_modules/gulp/bin/gulp.js browserify-tests && node ./node_modules/mocha-phantomjs/bin/mocha-phantomjs test/browser/index.html
table-dragger,1659477416,1659477418,1dcbed9,1,1,0,0,jest --watch
tuneup_js,1659477418,1659477420,456fede,0,0,0,0,jest --watch
machine_learning,1659477420,1659477422,ae05b3e,0,0,0,0,jest --watch
